status;finalidade;tipo;dormitorios;quartos;cidade;cep;endereco;numero;complemento;bairro;estado;metragem;areaterreno;area_total;area_util;garagem;idade;condominio;valorvenda;iptu;promocao;dataregistro;condominiofechado;zoneamento;ImovelEntregue;datacadastro;dataupdate;Andar;valor_total
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83829028;Rua São Manoel;597;;Santa Terezinha;PR;190.0;360.0;190.0;190.0;2;0.0;;370000;600.0;N;2023-09-27T00:10:26.800;N;ZR;0;2023-06-29T11:44:31.010;;0;370600.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83833534;Avenida Rio Amazonas;348;casa 01;Iguaçu;PR;75.0;75.0;75.0;75.0;1;0.0;;350000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-05-24T17:30:42.667;;0;350000.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83833536;Rua Rio Timbu;324;casa;Iguaçu;PR;80.0;480.0;80.0;80.0;6;0.0;;350000;0.0;N;2023-09-27T00:10:26.800;N;zr2;0;2023-08-08T16:09:51.837;;0;350000.0
Disponível;Residencial;Casa;4;3;Fazenda Rio Grande;83823080;Rua Peru;352;;Nações;PR;151.0;180.0;151.0;151.0;0;1.0;;750000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-07-21T08:48:15.600;;0;750000.0
Disponível;Residencial;Casa;3;2;Fazenda Rio Grande;83820463;Rua Cerejeira;1617;Casa Rua Cerejeira 199;Eucaliptos;PR;78.05;160.0;78.05;78.05;0;0.0;;520000;0.0;N;2023-09-27T00:10:26.800;N;zr1;0;2023-08-04T12:06:14.077;;0;520000.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83830566;Rua Curitiba;551;casa ;Estados;PR;46.08;249.09;46.08;46.08;3;1.0;;310000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-08-09T17:04:09.307;;0;310000.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83823098;Rua Austria;885;casa 04;Nações;PR;54.0;96.0;54.0;54.0;1;13.0;condominio residencial chile 1;250000;0.0;N;2023-09-27T00:10:26.800;N;zr1;0;2023-06-13T11:40:52.117;;0;250000.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83820674;Rua Sombreiro;234;casa;Eucaliptos;PR;64.0;156.0;64.0;64.0;2;0.0;;380000;0.0;N;2023-09-27T00:10:26.800;N;zr3;0;2023-08-08T17:20:02.827;;0;380000.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83820238;Rua Limeira;619;Casa 2;Eucaliptos;PR;43.47;143.05;43.47;43.47;2;13.0;Condomínio Residencial Limeira VI;230000;0.0;N;2023-09-27T00:10:26.800;N;Zr2;0;2022-10-27T16:25:24.710;;0;230000.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83833102;Rua Rio Curua;55;casa 02;Iguaçu;PR;63.46;189.86;63.46;63.46;1;0.0;1;320000;0.0;N;2023-09-27T00:10:26.800;N;Zr2;0;2023-07-28T09:23:15.993;;0;320000.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83829259;Rua São Timoteo;76;;Santa Terezinha;PR;120.0;180.0;120.0;120.0;1;14.0;;325000;305.4;N;2023-09-27T00:10:26.800;N;z;0;2023-09-11T08:46:01.687;;0;325305.4
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83830273;Avenida Paraná;4351;cs02;Estados;PR;44.6;147.29;44.6;44.6;2;11.0;;212000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-06-22T14:23:23.980;;0;212000.0
Disponível;Comercial/Residencial;Casa;4;4;Fazenda Rio Grande;83820029;Rua Franca;84;casa;Eucaliptos;PR;100.0;360.0;100.0;100.0;6;10.0;;670000;680.0;N;2023-09-27T00:10:26.800;N;ZC;0;2023-07-04T15:10:00.117;;0;670680.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83829326;Rua São Clemente;46;casa;Santa Terezinha;PR;57.75;146.25;57.75;57.75;1;0.0;;260000;0.0;N;2023-09-27T00:10:26.800;N;zr1;0;2023-09-21T12:02:09.490;;0;260000.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83824462;Avenida Portugal;3454;casa 02;Gralha Azul;PR;50.5;91.0;50.5;47.2;2;13.0;VATICANO II;180000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-08-11T14:21:25.653;;0;180000.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83830209;Rua Itajai;313;CASA 08;Estados;PR;93.0;123.0;93.0;47.0;2;13.0;;240000;34.0;N;2023-09-27T00:10:26.800;N;ZR3;0;2023-05-31T17:19:57.510;;0;240034.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83830310;Rua Para;163;casa 02;Estados;PR;51.5;360.0;51.5;51.5;1;0.0;;230000;0.0;N;2023-09-27T00:10:26.800;N;zr1;0;2023-07-05T16:58:41.097;;0;230000.0
Disponível;Residencial;Casa;3;2;Fazenda Rio Grande;83823080;Rua Peru;121;casa;Nações;PR;90.0;180.0;90.0;90.0;1;0.0;;530000;0.0;N;2023-09-27T00:10:26.800;N;Zr2;0;2023-09-06T08:50:58.653;;0;530000.0
Disponível;Comercial/Residencial;Casa;6;6;Fazenda Rio Grande;83824129;Rua Arapongas;305;;Gralha Azul;PR;507.0;1092.0;507.0;507.0;0;31.0;;1200000;0.0;N;2023-09-27T00:10:26.800;N;ZR3;0;2023-09-14T15:16:08.033;;0;1200000.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83829156;Rua São Tomas De Aquino;94;;Santa Terezinha;PR;61.0;170.0;61.0;61.0;2;6.0;;275000;400.0;N;2023-09-27T00:10:26.800;N;zr2;0;2023-08-01T14:06:47.377;;0;275400.01
Disponível;Residencial;Casa;3;2;Fazenda Rio Grande;83820692;Rua Tápia;189;Casa 3;Eucaliptos;PR;66.0;126.0;66.0;66.0;2;1.0;COND. RESIDENCIAL TAPIA 189;360000;0.0;N;2023-09-27T00:10:26.800;N;ZR2;0;2023-08-08T10:20:06.657;;0;360000.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83823400;Rua Esparta;81;;Nações;PR;55.55;120.0;55.55;55.55;2;3.0;CONDOMINIO RESIDENCIAL ESPARTA;285000;338.73;N;2023-09-27T00:10:26.800;N;ZR-2;0;2023-08-14T11:26:24.617;;0;285338.73
Disponível;Comercial/Residencial;Casa;3;2;Fazenda Rio Grande;83820527;Rua Goiabeira;231;;Eucaliptos;PR;120.0;360.0;120.0;120.0;4;18.0;;385000;0.0;N;2023-09-27T00:10:26.800;N;ZR-2;0;2023-08-16T16:02:50.880;;0;385000.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83823152;Rua Santiago;97;casa ;Nações;PR;220.0;360.0;220.0;220.0;8;1.0;;550000;0.0;N;2023-09-27T00:10:26.800;N;zr2;0;2022-11-23T09:35:20.967;;0;550000.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83824024;Rua Rouxinol;467;;Gralha Azul;PR;147.8;361.8;147.8;147.8;3;0.0;;450000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-03-30T10:13:11.840;;0;450000.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83820704;Rua Chorão;528;CASA ESQUINA;Eucaliptos;PR;55.0;168.01;55.0;55.0;3;1.0;;310000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-07-25T10:05:09.377;;0;310000.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83823309;Rua Cancun;239;casa 01;Nações;PR;90.0;180.0;90.0;90.0;2;0.0;;415000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-09-21T08:54:16.643;;0;350000.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83823309;Rua Cancun;239;casa 02;Nações;PR;90.0;180.0;90.0;90.0;2;0.0;;415000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-08-14T11:35:10.630;;0;415000.0
Disponível;Residencial;Casa;4;4;Fazenda Rio Grande;83823214;Rua Hungria;213;casa;Nações;PR;140.0;270.0;140.0;140.0;0;27.0;CASA;300000;525.48;N;2023-09-27T00:10:26.800;N;ZR;0;2023-07-05T14:53:10.747;;0;300525.48
Vendido;Residencial;Casa;3;3;Fazenda Rio Grande;83824558;Travessa Falcão;81;CASA 03;Gralha Azul;PR;89.6;166.75;89.6;54.6;1;14.0;condomínio residencial vitória l;230000;300.0;N;2023-09-27T00:10:26.800;N;ZR;0;2023-03-30T20:59:47.700;;0;230300.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83833245;Rua Rio Paranaiba;1074;casa;Iguaçu;PR;80.0;220.0;80.0;65.0;0;13.0;;220000;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-01-30T15:28:58.830;;0;220000.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83823194;Avenida Polônia;1303;casa 85;Nações;PR;54.0;206.84;54.0;54.0;2;1.0;;350000;0.0;N;2023-09-27T00:10:26.800;S;zr2;0;2023-09-01T14:10:22.243;;0;350000.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83830469;Avenida Rio Amazonas;3341;casa 60;Estados;PR;43.0;120.0;43.0;43.0;0;7.0;Alice Tieko IV;200000;420.0;N;2023-09-27T00:10:26.800;S;zr2;0;2023-08-09T17:26:00.447;;0;200545.0
Disponível;Residencial;Casa;4;4;Fazenda Rio Grande;83833289;Rua Rio Tapajos;822;;Iguaçu;PR;250.0;441.29;250.0;250.0;3;23.0;;400000;500.0;N;2023-09-27T00:10:26.800;N;ZR1;0;2023-09-11T13:47:01.370;;0;400500.0
Disponível;Residencial;Casa;3;1;Fazenda Rio Grande;83833289;Rua Rio Tapajos;822;;Iguaçu;PR;100.0;300.12;100.0;100.0;2;11.0;;300000;430.0;N;2023-09-27T00:10:26.800;N;ZR2;0;2023-09-11T13:54:39.363;;0;300430.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83830430;Travessa Pien;450;RUA B - CASA 82;Estados;PR;42.0;110.27;42.0;42.0;1;10.0;CONDOMÍNIO RESIDENCIAL VILA VITORIA;175000;0.0;N;2023-09-27T00:10:26.800;S;ZR;0;2023-07-26T13:48:47.387;;0;175080.0
Disponível;Residencial;Casa;2;2;Fazenda Rio Grande;83830203;Avenida São Paulo;774;casa 30;Estados;PR;43.0;96.58;43.0;43.0;1;11.0;Condomínio Residêncial Galícia IV;185000;0.0;N;2023-09-27T00:10:26.800;S;zr;0;2023-05-31T10:48:23.907;;0;185120.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83823194;Avenida Polônia;1303;casa;Nações;PR;54.0;206.84;54.0;54.0;0;0.0;Condomínio Stadium.;315000;0.0;N;2023-09-27T00:10:26.800;S;ZR2;0;2023-08-28T13:48:33.303;;0;315200.0
Disponível;Residencial;Casa;3;2;Fazenda Rio Grande;83823265;Rua Líbia;289;CASA 207;Nações;PR;100.0;135.0;100.0;135.0;1;14.0;RESIDENCIAL NACOES UNIDAS;260000;250.0;N;2023-09-27T00:10:26.800;S;ZR2;0;2023-08-21T10:33:19.437;;0;260375.0
Disponível;Residencial;Casa;3;3;Fazenda Rio Grande;83824554;Rua Cucos;1800;Casa 67;Gralha Azul;PR;33.63;96.0;33.63;33.6;1;9.0;Residencial Gran Paradiso;230000;0.0;N;2023-09-27T00:10:26.800;S;ZR1;0;2023-08-24T15:02:26.837;;0;230000.0
Disponível;Residencial;Casa;4;0;Fazenda Rio Grande;83820038;Rua Inglaterra;63;casa;Eucaliptos;PR;250.0;360.0;250.0;250.0;0;0.0;;1300000;0.0;N;2023-09-27T00:10:26.800;N;zr2;0;2023-03-17T11:17:21.230;;0;1300000.0
Disponível;Residencial;Apartamento;2;2;Fazenda Rio Grande;83829308;Rua Nossa Senhora Aparecida;2473;;Santa Terezinha;PR;42.53;42.53;42.53;42.53;1;8.0;Residencial Bosque de Ipê;185000;108.0;N;2023-09-27T00:10:26.800;S;zc;0;2023-08-02T15:52:50.720;;0;185358.0
Disponível;Residencial;Apartamento;2;2;Fazenda Rio Grande;83820455;  Avenida Venezuela;1827;Apto 12, Bloco 57;Eucaliptos;PR;49.3;132384.87;49.3;42.57;1;11.0;Condomínio Gralha Azul Residencial Clube;145000;194.0;N;2023-09-27T00:10:26.800;S;ZR2;0;2023-01-06T09:29:53.597;;0;145514.72
Disponível;Residencial;Apartamento;2;2;Fazenda Rio Grande;83820004;Avenida Cedro;210;apto 204;Eucaliptos;PR;78.14;0.0;78.14;53.4;1;7.0;Res Edificio Canadá;270000;0.0;N;2023-09-27T00:10:26.800;S;zr;0;2023-03-21T11:44:35.883;;0;270000.0
Disponível;Residencial;Apartamento;2;2;Fazenda Rio Grande;83823104;Travessa Israel;183;ap 631;Nações;PR;53.42;53.42;53.42;53.42;0;8.0;Condomínio Residencial Felicitá Residênce;274000;0.0;N;2023-09-27T00:10:26.800;S;zr;0;2023-09-21T12:23:01.103;;0;274431.0
Disponível;Residencial;Apartamento;2;2;Fazenda Rio Grande;83820455;  Avenida Venezuela;1827;ap 23 bloco 42;Eucaliptos;PR;42.57;42.57;42.57;42.57;1;8.0;Gralha Azul Residencial Club;158000;0.0;N;2023-09-27T00:10:26.800;S;zr;0;2023-03-06T21:48:20.243;;0;158290.0
Disponível;Residencial;Apartamento;2;2;Fazenda Rio Grande;83829018;Rua Nossa Senhora Aparecida;2633;apto 13, Bl24;Santa Terezinha;PR;45.82;45.82;45.82;45.82;1;8.0;Condomínio Residencial Bosque de Ipe II;170000;363.09;N;2023-09-27T00:10:26.800;S;zr02;0;2023-09-15T14:08:52.883;;0;170585.91
Disponível;Residencial;Apartamento;2;2;Fazenda Rio Grande;83829018;Rua Nossa Senhora Aparecida;2450;;Santa Terezinha;PR;56.66;0.0;56.66;56.66;2;0.0;Fazenda Home Club;193000;0.0;N;2023-09-27T00:10:26.800;S;zr;0;2023-07-28T17:02:00.847;;0;193000.0
