status;finalidade;tipo;dormitorios;quartos;cidade;cep;endereco;numero;complemento;bairro;estado;metragem;areaterreno;area_total;area_util;garagem;idade;condominio;valorvenda;iptu;promocao;dataregistro;condominiofechado;zoneamento;ImovelEntregue;datacadastro;dataupdate;Andar;valor_total
Disponível;Residencial;Casa;3;2;Campo Largo;83604030;Rua Rio Grande Do Sul;6;;Jardim Esmeralda;PR;94.0;180.0;94.0;94.0;1;1;;369000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-09-13T15:06:03.670;;0;369000.0
Disponível;Residencial;Casa;3;3;Campo Largo;83606415;Rua Da Paz;35;casa;Loteamento São Francisco De Assis;PR;69.08;199.18;69.08;69.08;2;9;0;330000;0.0;N;2023-09-27T00:10:26.800;N;z;0;2023-04-13T15:26:58.247;;0;330000.0
Disponível;Residencial;Casa;3;3;Campo Largo;83606146;Rua Das Bromélias;8;;Jardim Busmayer;PR;162.0;331.2;162.0;162.0;2;0;;690000;0.0;N;2023-09-27T00:10:26.800;N;6;0;2023-05-17T11:08:25.193;;0;690000.0
Disponível;Residencial;Sobrado;3;2;Campo Largo;83602200;Rua Antônio Boaron;615;Unidade 02;Botiatuva;PR;94.28;150.77;94.28;94.28;0;2;Residencial Camillo;499000;0.0;N;2023-09-27T00:10:26.800;S;z;0;2023-06-30T13:20:51.237;;0;499000.0
Disponível;Residencial;Sobrado;4;3;Campo Largo;83601720;Rua Vereador Alberto Klemes;35;Unidade 46;Jardim Das Américas;PR;223.19;220.0;223.19;223.19;2;1;Condomínio Verona;849000;0.0;N;2023-09-27T00:10:26.800;S;ZR2;0;2022-03-14T13:44:47.603;;0;849000.0
Disponível;Residencial;Casa;2;2;Campo Largo;83603130;Rua José Perússolo;106;CASA 01;Jardim Três Rios;PR;76.45;175.77;76.45;76.45;1;0;;275000;0.0;N;2023-09-27T00:10:26.800;N;ZR2;0;2023-07-25T15:20:05.680;;0;275000.0
Disponível;Comercial/Residencial;Casa;2;2;Campo Largo;83601030;Rua Xv De Novembro;1480;Casa;Centro;PR;381.91;525.0;381.91;336.17;0;38;;1300000;0.0;N;2023-09-27T00:10:26.800;N;ZR3;0;2023-09-13T15:13:59.037;;0;1300000.0
Disponível;Residencial;Casa;2;2;Campo Largo;83603090;Rua Das Araucárias;239;;Jardim Das Acácias;PR;45.4;157.06;45.4;45.4;1;1;;195000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-03-24T09:36:24.937;;0;195000.0
Disponível;Residencial;Casa;4;3;Campo Largo;83604340;Rua Raimundo Ferreira Portela;177;;Vila Itaqui;PR;204.0;586.34;204.0;586.34;1;0;;790000;0.0;N;2023-09-27T00:10:26.800;N;6;0;2023-09-21T14:12:46.113;;0;790000.0
Disponível;Residencial;Casa;2;2;Campo Largo;83601260;Rua João Markóvsc;466;;Vila Nossa Senhora Do Carmo;PR;60.0;648.0;60.0;60.0;1;0;;420000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-07-13T13:15:25.510;;0;420000.0
