status;finalidade;tipo;dormitorios;quartos;cidade;cep;endereco;numero;complemento;bairro;estado;metragem;areaterreno;area_total;area_util;garagem;idade;condominio;valorvenda;iptu;promocao;dataregistro;condominiofechado;zoneamento;ImovelEntregue;datacadastro;dataupdate;Andar;valor_total
Disponível;Residencial;Apartamento;2;2;Curitiba;81050170;Rua João Bonat;93;;Novo Mundo;PR;0.0;0.0;154.18;74.0;0;;New Urban Residence;675135.0;0.0;S;2023-09-27T00:10:26.800;S;Zr;0;2023-04-03T12:54:45.893;;0;675135.0
Disponível;Residencial;Apartamento;3;2;Curitiba;80730460;Rua Alferes Ângelo Sampaio;2525;;Bigorrilho;PR;1153.78;1153.78;196.69;107.58;2;;Soho 2525;1699000.0;0.0;S;2023-09-27T00:10:26.800;S;ZR4;0;2023-09-18T19:09:06.497;;0;1699000.0
Disponível;Residencial;Apartamento;4;2;Curitiba;82305100;Rodovia Br-277 Curitiba-Ponta Grossa;315;;Ecoville;PR;277.44;277.44;380.95;277.44;0;;Reserva Barigui | Colina Cobertura;7211303.0;0.0;S;2023-09-27T00:10:26.800;S;N907D;0;2023-07-28T17:25:29.960;;0;7211303.0
Disponível;Residencial;Apartamento;2;1;Curitiba;82305100;Rodovia Br-277 Curitiba-Ponta Grossa;315;;Mossunguê;PR;36.75;36.75;36.75;36.75;1;;Reserva Barigui | Lago Studio;618906.0;0.0;S;2023-09-27T00:10:26.800;S;N907D;0;2023-07-28T17:28:49.163;;0;618906.0
Disponível;Residencial;Apartamento;2;2;Curitiba;82640170;Rua Coronel Wallace Scott Murray;1129;;Santa Cândida;PR;46.8;46.8;46.8;46.8;0;;Residencial Fellini;268000.0;0.0;S;2023-09-27T00:10:26.800;S;z;0;2023-09-21T09:41:31.217;;0;268000.0
Disponível;Residencial;Apartamento;2;1;Curitiba;81510290;Rua Madre Maria Lúcia;506;;Guabirotuba;PR;1672.0;1672.0;80.37;54.07;1;;Motomi Doki;349000.0;0.0;S;2023-09-27T00:10:26.800;S;ZR4;0;2023-09-26T13:11:37.327;;0;349000.0
Disponível;Residencial;Sobrado;6;2;Curitiba;80530380;Rua Albano Reis;500;Residencial 01C;Ahú;PR;187.7;0.0;187.7;178.58;2;34.0;Residencial Albano Reis;980000.0;0.0;N;2023-09-27T00:10:26.800;N;0;0;2023-07-26T13:46:48.737;;0;980000.0
Disponível;Residencial;Casa;3;0;Curitiba;81820440;Rua Leonídio Balaban;121;;Pinheirinho;PR;280.0;507.0;280.0;280.0;9;11.0;;1350000.0;1000.0;N;2023-09-27T00:10:26.800;N;ZR2;0;2023-09-25T19:37:24.307;;0;1351000.0
Disponível;Residencial;Casa;4;3;Curitiba;81900480;Rua Cambé;925;Casa;Sítio Cercado;PR;274.61;437.0;274.61;274.61;4;13.0;;1850000.0;2226.0;N;2023-09-27T00:10:26.800;N;ZR2;0;2023-05-11T11:11:08.287;;0;1852226.0
Disponível;Residencial;Sobrado;3;0;Curitiba;80740560;Rua Antônio Rodrigues;449;sobrado 01;Seminário;PR;200.0;513.0;200.0;200.0;2;0.0;Residencial Hebreus;990000.0;0.0;N;2023-09-27T00:10:26.800;N;zr3;0;2023-09-18T15:57:41.340;;0;990000.0
Disponível;Residencial;Sobrado;3;2;Curitiba;82100360;Rua Maestro Herrmann;225;sob. 4;Vista Alegre;PR;228.0;228.0;228.0;228.0;4;20.0;;900000.0;1158.9;N;2023-09-27T00:10:26.800;N;ZR2;0;2023-08-04T10:57:15.823;;0;901158.9
Disponível;Residencial;Casa;4;3;Curitiba;81320170;Rua Antônio Rechetelo;169;;Fazendinha;PR;150.0;111.38;150.0;150.0;2;38.0;;550000.0;177.0;N;2023-09-27T00:10:26.800;N;zr3;0;2023-09-25T19:40:10.080;;0;550177.0
Disponível;Residencial;Sobrado;3;0;Curitiba;82710470;Rua Coronel João Batista Lopes;80;Sobrado;Cachoeira;PR;243.0;360.0;243.0;243.0;2;30.0;;670000.0;0.0;N;2023-09-27T00:10:26.800;N;zr2;0;2023-05-18T15:35:36.390;;0;670000.0
Disponível;Residencial;Casa;2;1;Curitiba;82600120;Rua José De Lima;268;;Tingui;PR;157.8;267.5;157.8;157.8;1;7.0;Condomínio Scholtz;750000.0;1451.9;N;2023-09-27T00:10:26.800;N;SE LV1;0;2023-05-17T15:17:14.620;;0;751451.9
Disponível;Residencial;Sobrado;3;2;Curitiba;81570200;Rua Mário Mendes De Lara;689;;Uberaba;PR;172.56;195.6;172.56;172.56;3;10.0;;750000.0;0.0;N;2023-09-27T00:10:26.800;N;zr;0;2023-05-18T16:06:08.067;;0;750000.0
Disponível;Residencial;Casa;3;2;Curitiba;82700580;Rua Edy Helena Schutze;66;Rua sem saída;Barreirinha;PR;210.0;504.0;210.0;210.0;4;10.0;Jardim Arroio;745000.0;0.0;N;2023-09-27T00:10:26.800;N;ZR2;0;2023-05-30T13:24:05.037;;0;745000.0
Disponível;Residencial;Casa;3;2;Curitiba;82560290;Rua Santo Celestino Coleto;1442;;Boa Vista;PR;190.0;360.0;190.0;190.0;2;16.0;;730000.0;1467.16;N;2023-09-27T00:10:26.800;N;ZR3;0;2023-08-09T10:48:48.270;;0;731467.16
Disponível;Comercial/Residencial;Casa;3;0;Curitiba;81550480;Rua Sargento Luiz Gonzaga Martins Ribas;631;;Uberaba;PR;150.0;134.0;150.0;150.0;2;33.0;;485000.0;543.06;N;2023-09-27T00:10:26.800;N;SEHIS;0;2023-07-20T13:12:26.510;;0;485543.06
Disponível;Comercial/Residencial;Casa;4;3;Curitiba;80510342;Rua Desembargador Vieira Cavalcanti;854;CASA AZUL;Mercês;PR;176.4;210.0;176.4;176.4;2;33.0;;550000.0;0.0;N;2023-09-27T00:10:26.800;N;ZR3;0;2023-09-18T10:28:58.210;;0;550000.0
