status;finalidade;tipo;dormitorios;quartos;cidade;cep;endereco;numero;complemento;bairro;estado;metragem;areaterreno;area_total;area_util;garagem;idade;condominio;valorvenda;iptu;promocao;dataregistro;condominiofechado;zoneamento;ImovelEntregue;datacadastro;dataupdate;Andar;valor_total
Disponível;Residencial;Casa;2;2;Araucária;83701590;Rua Xambrê;538;casa 02;Iguaçu;PR;47.13;360.0;47.13;47.13;2;9;Residencial Augusta;209900;0.0;N;2023-09-27T00:10:26.800;S;ZR;0;2023-07-25T14:51:42.840;;0;209900.0
Disponível;Residencial;Casa;3;3;Araucária;83709530;Rua Das Papoulas;1831;;Campina Da Barra;PR;76.0;180.0;76.0;76.0;1;0;;450000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-04-19T16:52:08.413;;0;450000.0
Disponível;Residencial;Casa;2;2;Araucária;83708746;Rua João Batista Cantele;76;;Costeira;PR;70.0;266.34;70.0;70.0;0;24;;405000;245.0;N;2023-09-27T00:10:26.800;N;ZR2;0;2023-09-26T16:35:17.987;;0;405245.0
Disponível;Residencial;Casa;3;3;Araucária;83709600;Rua Das Orquídeas;1798;Casa 2;Campina Da Barra;PR;112.5;112.5;112.5;112.5;2;12;Conjunto Residencial Paraiso 2;280000;0.0;N;2023-09-27T00:10:26.800;N;ZR-2;0;2023-09-12T11:13:27.203;;0;280000.0
Disponível;Residencial;Casa;3;3;Araucária;83709570;Rua Prímula;1269;CASA;Campina Da Barra;PR;190.0;403.0;190.0;403.0;2;24;;420000;0.0;N;2023-09-27T00:10:26.800;N;ZR2;0;2023-06-03T12:08:50.613;;0;420000.0
Disponível;Residencial;Casa;2;2;Araucária;83709500;Rua Lótus;550;Condomínio Jardim de Lótus;Campina Da Barra;PR;50.44;109.64;50.44;50.44;0;10;Jardim de Lotus;300000;0.0;N;2023-09-27T00:10:26.800;S;zr2;0;2023-09-15T14:10:00.947;;0;300095.5
Disponível;Residencial;Casa;2;2;Araucária;83706160;Rua Arapongas;1.528;casa 184;Capela Velha;PR;37.8;76.8;37.8;37.8;1;7;;200000;0.0;N;2023-09-27T00:10:26.800;S;zr2;0;2023-09-05T14:54:25.260;;0;200265.0
Disponível;Residencial;Casa;2;2;Araucária;83706190;Rua Tucano;1732;casa 67;Capela Velha;PR;61.68;0.0;61.68;45.92;1;10;Condomínio Residencial Sol Nascente;219000;128.49;N;2023-09-27T00:10:26.800;S;Zr;0;2023-09-25T19:42:11.867;;0;219208.49
Disponível;Residencial;Casa;2;2;Araucária;83706380;Rua Anacã;1556;Casa 45;Capela Velha;PR;62.64;180.0;62.64;62.64;2;5;Condomínio Santa Regina;260000;0.0;N;2023-09-27T00:10:26.800;S;ZR;0;2023-07-17T10:39:16.010;;0;260000.0
Vendido;Residencial;Casa;3;3;Araucária;83704010;Rua Bernardo Frederico Michel;519;;Passauna;PR;70.19;216.0;70.19;70.19;2;6;Residencial Alve Costa;399000;0.0;N;2023-09-27T00:10:26.800;S;Z;0;2022-09-15T11:15:40.590;;0;399000.0
Disponível;Residencial;Apartamento;2;2;Araucária;83704300;Rua Professor João Chorosnicki;154;ap 105 bl 01;Boqueirão;PR;54.99;54.99;54.99;54.99;1;0;Residencial Avola II;200000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-08-24T16:00:35.047;;0;200000.0
Disponível;Residencial;Apartamento;2;2;Araucária;83706240;Rua Beija-Flor;361;;Capela Velha;PR;44.37;70.48;44.37;44.37;1;10;Residencial South Carolina;173000;0.0;N;2023-09-27T00:10:26.800;N;Z;0;2023-08-30T15:51:04.873;;0;173000.0
Disponível;Comercial/Residencial;Casa;3;3;Araucária;83702550;Rua Ibraim Antônio Mansur;19;CASA;Centro;PR;120.0;640.0;120.0;640.0;0;23;;750000;0.0;N;2023-09-27T00:10:26.800;N;ZR1;0;2023-08-05T11:29:41.447;;0;750000.0
Disponível;Residencial;Apartamento;2;2;Araucária;83709266;Rua Síria Canso;57;apartamento;Costeira;PR;53.39;9.0;53.39;62.0;1;0;;215000;0.0;N;2023-09-27T00:10:26.800;S;zr;0;2023-07-27T08:59:13.570;;0;215000.0
Vendido;Residencial;Apartamento;2;2;Araucária;83706160;Rua Arapongas;1528;TORRE 01 - APTO 1403;Capela Velha;PR;55.12;55.12;55.12;55.12;1;8;RESIDENCIAL SAN DIEGO;210000;0.0;N;2023-09-27T00:10:26.800;S;ZR;0;2023-08-14T11:51:53.173;;0;210000.0
Disponível;Residencial;Casa;2;2;Araucária;83709272;Rua Presidente Costa E Silva;194;CASA 3;Costeira;PR;52.46;182.72;52.46;52.74;2;11;Leandro Costa IV;240000;0.0;N;2023-09-27T00:10:26.800;S;ZR;0;2023-09-16T17:14:08.247;;0;240000.0
