bairro;cidade;estado;dormitorios;Quartos;metragem;area_total;garagem;idade;condominiofechado;esquina;Andar;AceitaPets;MobiliadoCombo;garden;elevador;Academia;MobiliadoVenda;Gas
Nações;Fazenda Rio Grande;PR;4;4;140.0;140.0;0;27.0;N;N;0;0;Nao;0.0;0;0;0;1
Gralha Azul;Fazenda Rio Grande;PR;3;3;89.6;89.6;1;14.0;N;N;0;0;Nao;0.0;0;0;0;1
Iguaçu;Fazenda Rio Grande;PR;2;2;80.0;80.0;0;13.0;N;N;0;0;Nao;0.0;0;0;0;1
Nações;Fazenda Rio Grande;PR;3;3;54.0;54.0;2;1.0;S;N;0;0;Nao;0.0;0;0;0;1
Estados;Fazenda Rio Grande;PR;2;2;43.0;43.0;0;7.0;S;N;0;0;Nao;0.0;0;0;0;1
Iguaçu;Fazenda Rio Grande;PR;4;4;250.0;250.0;3;23.0;N;S;0;0;Nao;0.0;0;0;0;1
Iguaçu;Fazenda Rio Grande;PR;3;1;100.0;100.0;2;11.0;N;N;0;0;Nao;0.0;0;0;0;1
Estados;Fazenda Rio Grande;PR;2;2;42.0;42.0;1;10.0;S;N;0;0;Nao;0.0;0;0;0;1
Estados;Fazenda Rio Grande;PR;2;2;43.0;43.0;1;11.0;S;N;0;0;Nao;0.0;0;0;0;1
Nações;Fazenda Rio Grande;PR;3;3;54.0;54.0;0;0.0;S;N;0;0;Nao;0.0;0;0;0;0
Nações;Fazenda Rio Grande;PR;3;2;100.0;100.0;1;14.0;S;N;0;0;Nao;0.0;0;0;0;0
Gralha Azul;Fazenda Rio Grande;PR;3;3;33.63;33.63;1;9.0;S;N;0;0;Nao;0.0;0;0;0;1
Eucaliptos;Fazenda Rio Grande;PR;4;0;250.0;250.0;0;0.0;N;N;0;0;Nao;0.0;0;0;0;1
Santa Terezinha;Fazenda Rio Grande;PR;2;2;42.53;42.53;1;8.0;S;N;0;0;Nao;0.0;0;0;0;1
Eucaliptos;Fazenda Rio Grande;PR;2;2;49.3;49.3;1;11.0;S;N;0;0;Nao;1.0;0;0;0;1
Eucaliptos;Fazenda Rio Grande;PR;2;2;78.14;78.14;1;7.0;S;N;0;0;Nao;0.0;1;0;0;0
Nações;Fazenda Rio Grande;PR;2;2;53.42;53.42;0;8.0;S;N;0;0;Nao;0.0;0;0;0;1
Eucaliptos;Fazenda Rio Grande;PR;2;2;42.57;42.57;1;8.0;S;N;0;0;Nao;0.0;0;0;0;1
Santa Terezinha;Fazenda Rio Grande;PR;2;2;45.82;45.82;1;8.0;S;N;0;0;Nao;0.0;0;0;0;1
Santa Terezinha;Fazenda Rio Grande;PR;2;2;56.66;56.66;2;0.0;S;N;0;0;Nao;0.0;0;1;0;1
